Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase,CLTV,Total Service,CLTV per Purchase,Cluster,Predicted Tenure Months to Churn,Tenure Months,Index
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,92429.99999999999,7571200.0,0,81.9127988748242,1,3,1,0
Bandung,Mid End,No,No,No,No,No,No,Pulsa,59345.0,6095700.0,0,102.71631982475355,2,5,1,1
Jakarta,High End,No,No,No,No,No,No,Pulsa,91520.00000000001,5509400.000000001,0,60.19886363636364,1,6,1,2
Bandung,High End,No,No,No,No,No,No,Pulsa,90545.00000000001,7597200.0,0,83.90524048815504,1,7,1,3
Bandung,Mid End,No,No,No,No,Yes,No,Pulsa,47385.00000000001,6893900.000000001,1,145.4869684499314,2,9,1,4
Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25544.999999999996,7645300.0,0,299.28753180661585,2,5,1,5
Bandung,High End,No,Yes,No,No,No,No,Pulsa,97955.0,6869200.0,1,70.12607830126078,1,15,1,6
Bandung,High End,No,No,No,No,No,No,Pulsa,98085.00000000001,7173400.000000001,0,73.13452617627568,1,9,1,7
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,103545.00000000001,2754700.0000000005,1,26.60389202762084,0,10,1,8
Jakarta,High End,No,No,No,No,Yes,No,Digital Wallet,104065.0,3825900.0,1,36.764522173641474,0,7,1,9
Jakarta,High End,No,No,Yes,No,No,No,Pulsa,97890.0,2828800.0,1,28.89774236387782,0,10,1,10
Bandung,Mid End,No,Yes,No,No,No,No,Pulsa,65975.00000000001,6961500.0,1,105.51724137931032,1,13,1,11
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59280.0,3948100.0,0,66.60087719298245,4,4,1,12
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,96785.00000000001,5578300.0,0,57.635997313633304,1,4,1,13
Bandung,High End,No,No,No,No,No,Yes,Pulsa,103479.99999999999,4040400.0,1,39.04522613065327,0,7,1,14
Jakarta,Mid End,No,No,No,Yes,No,No,Pulsa,66039.99999999999,5895500.0,1,89.27165354330711,1,7,1,15
Bandung,High End,No,No,No,No,No,No,Debit,96979.99999999999,7619300.0,0,78.56568364611262,1,12,1,16
Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,121615.0,7196800.0,2,59.176910742918224,1,15,1,17
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25869.999999999996,7073300.0,0,273.4170854271357,2,5,1,18
Jakarta,High End,No,No,No,No,No,No,Pulsa,91780.0,5281900.000000001,0,57.54957507082154,1,6,1,19
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32240.000000000004,6990100.0,0,216.81451612903223,2,5,1,20
Jakarta,Mid End,No,No,No,Yes,No,No,Digital Wallet,66625.0,2834000.0,1,42.53658536585366,4,8,1,21
Bandung,Mid End,No,No,Yes,No,No,No,Digital Wallet,66170.0,6644300.0,1,100.41257367387034,1,6,1,22
Jakarta,Mid End,Yes,No,No,No,No,No,Pulsa,64414.99999999999,6485700.0,1,100.68617558022201,1,11,1,23
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26260.0,3979300.0,0,151.53465346534654,4,11,1,24
Bandung,Mid End,No,No,No,No,Yes,No,Pulsa,46475.0,4356300.0,1,93.73426573426573,4,7,1,25
Bandung,Mid End,No,No,No,No,No,No,Credit,60060.0,5417100.0,0,90.1948051948052,2,10,1,26
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,25805.000000000004,5036200.0,0,195.1637279596977,4,6,1,27
Bandung,Mid End,No,No,No,No,No,No,Pulsa,58695.0,7576400.000000001,0,129.08084163898118,2,5,1,28
Bandung,Mid End,No,Yes,Yes,No,No,Yes,Pulsa,56290.0,6463600.0,3,114.82678983833718,1,28,1,29
Jakarta,Mid End,No,Yes,No,No,No,No,Digital Wallet,40755.0,4686500.0,1,114.99202551834131,4,7,1,30
Jakarta,High End,No,No,No,No,No,No,Pulsa,89830.0,7533500.0,0,83.86396526772793,1,7,1,31
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26130.000000000004,6412900.000000001,0,245.4228855721393,2,5,1,32
